"Gene","FN","FS","PN","PS","Trepl","Tsil"
"LOC411978",6,12,1,0,19323,6270
"LOC411980",1,4,0,0,11981.6665,4953.3335
"LOC411981",0,6,0,0,33883.9998,12718.0002
"LOC411982",1,12,0,1,16020.6662,6365.3338
"LOC411983",0,17,0,0,20530.3339,7111.6661
"LOC411985",1,2,1,1,16608.3335,5951.6665
"LOC411986",15,29,1,1,224219.3318,86142.6682
"LOC411991",0,8,0,2,18693.333,8276.667
"LOC411995",0,3,0,0,3278.0001,1167.9999
"LOC411996",8,2,2,0,41640,11712
"LOC411997",8,11,0,0,21292.6673,7720.3327
"LOC412000",3,2,0,0,9575,3175
"LOC412002",4,8,0,1,54179.6671,21012.3329
"LOC412003",0,4,0,0,8997.3332,3338.6668
"LOC412005",1,1,0,1,5045.0001,1893.9999
"LOC412007",2,2,0,0,3932,1624
"LOC412008",0,1,0,0,904.3333,367.6667
"LOC412009",0,1,0,0,597.6667,206.3333
"LOC412010",0,5,0,0,5025,1995
"LOC412011",2,15,2,7,50535.3342,21458.6658
"LOC412013",0,14,0,5,26764.6673,10285.3327
"LOC412015",0,2,0,0,667.3334,190.6666
"LOC412016",0,1,0,0,738,282
"LOC412020",1,6,0,0,10595.6669,3621.3331
"LOC412021",4,5,0,1,12050,3670
"LOC412024",1,3,0,0,2860,920
"LOC412025",5,4,0,0,12723.0003,4340.9997
"LOC412027",4,1,0,1,5170.0002,1795.9998
"LOC412031",1,7,0,0,9397.3336,3850.6664
"LOC412034",8,20,4,6,90883.3346,33262.6654
"LOC412035",9,10,0,0,59793,21147
"LOC412041",0,3,0,0,2489.0001,894.9999
"LOC412045",8,13,0,1,32523.3326,11894.6674
"LOC412046",0,7,0,1,35778.6664,14717.3336
"LOC412051",2,5,0,0,10642.3331,4036.6669
"LOC412053",2,1,1,0,5665.3332,1858.6668
"LOC412055",0,1,0,0,2075.3333,783.6667
"LOC412056",0,7,0,0,7198.3331,2776.6669
"LOC412057",8,14,1,5,55533.3324,20150.6676
"LOC412059",0,2,0,0,4154,1558
"LOC412064",0,5,0,1,3247.9998,1198.0002
"LOC412065",6,8,0,0,16692.6662,6365.3338
"LOC412067",1,4,0,1,4734,1422
"LOC412069",0,8,0,0,9021.3336,3314.6664
"LOC412070",0,2,0,0,1418,496
"LOC412072",0,1,0,0,426,159
"LOC412074",7,18,0,0,68775,23625
"LOC412076",1,0,0,0,880,329
"LOC412077",1,4,0,0,7891.6665,2893.3335
"LOC412079",1,6,0,0,7445.6669,2823.3331
"LOC412080",0,3,0,0,3236.0001,1218.9999
"LOC412081",4,11,0,0,49255.0005,19189.9995
"LOC412083",0,3,0,2,9323.3335,3831.6665
"LOC412084",7,3,0,0,13206.667,4883.333
"LOC412085",0,2,0,0,1423.3334,448.6666
"LOC412088",7,23,11,30,227507.6643,96252.3357
"LOC412091",7,30,3,6,182696.6682,65565.3318
"LOC412092",0,1,0,2,13064.0001,4674.9999
"LOC412093",6,6,0,0,32268,11940
"LOC412094",1,1,0,0,1801.3334,628.6666
"LOC412097",1,0,0,0,2199,789
"LOC412099",2,5,0,2,10878.0003,4916.9997
"LOC412100",1,1,0,0,1306.6666,367.3334
"LOC412101",14,39,7,21,324297.0027,118934.9973
"LOC412103",11,7,0,0,50706,17172
"LOC412104",5,9,0,0,44888.6662,15801.3338
"LOC412107",4,10,0,1,20299.9995,7825.0005
"LOC412108",0,6,0,0,5442,2136
"LOC412109",25,2,0,0,55341.0009,16100.9991
"LOC412111",1,4,0,0,14003.3335,4506.6665
"LOC412112",0,1,0,0,1001.6667,372.3333
"LOC412114",2,5,0,1,15573.3336,5522.6664
"LOC412115",4,4,0,0,14698.6664,5461.3336
"LOC412117",1,7,0,0,17274.6664,5693.3336
"LOC412118",1,14,0,0,26595,10125
"LOC412119",1,2,0,0,4332,1464
"LOC412128",1,9,0,3,37639.3329,14737.6671
"LOC412130",1,5,1,0,22414,9485
"LOC412131",7,13,0,0,48226.666,15553.334
"LOC412132",2,2,0,0,15926.6668,6405.3332
"LOC412133",1,3,0,0,9238.6668,3193.3332
"LOC412141",1,5,0,1,5112.3331,1901.6669
"LOC412143",3,8,0,0,34030.3337,13654.6663
"LOC412148",0,3,0,1,2753.3332,1026.6668
"LOC412150",0,3,0,0,5354.0001,1836.9999
"LOC412154",5,11,0,0,22778.6672,8229.3328
"LOC412155",3,3,0,0,8946,3132
"LOC412157",2,12,0,4,78084,31806
"LOC412158",0,6,0,1,7576.3331,2923.6669
"LOC412159",3,11,0,0,26287.3338,8866.6662
"LOC412161",0,1,0,0,1027.3333,427.6667
"LOC412162",17,8,4,5,52915.3322,14914.6678
"LOC412163",1,7,0,0,5576,1912
"LOC412164",0,3,0,0,3320.0001,1161.9999
"LOC412166",0,6,0,0,4705.9998,1558.0002
"LOC412167",17,14,0,1,57045.3344,19082.6656
"LOC412169",0,4,0,0,11397.3332,4118.6668
"LOC412170",2,3,0,0,4456.6665,1453.3335
"LOC412172",0,1,0,0,960,372
"LOC412174",1,9,0,0,11326.667,3643.333
"LOC412175",2,10,0,0,22572,9360
"LOC412176",2,13,0,1,65952,22704
"LOC412177",0,4,0,0,4400,1528
"LOC412187",0,4,0,0,3450.6668,1397.3332
"LOC412188",2,0,0,0,628,224
"LOC412189",0,1,0,0,440,157
"LOC412190",3,3,0,1,6962.6669,2550.3331
"LOC412191",2,11,0,2,35605.0005,13444.9995
"LOC412192",0,6,0,0,5863.9998,1696.0002
"LOC412193",5,7,0,0,20180.0004,5955.9996
"LOC412195",0,2,0,0,1988.6666,657.3334
"LOC412196",1,4,0,0,5158.3335,1846.6665
"LOC412197",0,2,0,0,784,266
"LOC412198",1,8,1,14,83208,29400
"LOC412199",0,1,0,0,636.3333,224.6667
"LOC412200",1,6,0,1,12954.6664,4205.3336
"LOC412201",0,1,0,0,390,141
"LOC412203",8,12,6,9,46666.6655,17698.3345
"LOC412209",5,2,0,6,14456,5122
"LOC412212",2,4,0,0,8725.9998,3190.0002
"LOC412215",4,32,0,10,158163.3318,57806.6682
"LOC412217",2,13,0,0,49930.0005,19234.9995
"LOC412219",1,13,1,0,35644.9995,14035.0005
"LOC412220",1,8,0,0,9801,3483
"LOC412222",5,20,0,0,54916.6675,22258.3325
"LOC412224",1,13,0,0,41542.6662,15115.3338
"LOC412227",0,1,0,0,1316.3333,396.6667
"LOC412230",23,65,0,31,1048588.3373,362989.6627
"LOC412231",4,7,4,2,12631,4301
"LOC412232",4,3,0,1,14282.6664,4701.3336
"LOC412233",2,0,0,0,3042,1116
"LOC412234",0,2,0,0,1233.3334,458.6666
"LOC412235",0,2,0,0,1326,468
"LOC412236",0,8,0,2,15470,5710
"LOC412240",0,3,0,0,1884,582
"LOC412243",24,123,18,41,2000809.3402,861766.6598
"LOC412245",2,3,0,0,5138.3335,1896.6665
"LOC412247",4,4,2,1,6112.3337,2203.6663
"LOC412249",5,3,0,0,10461.3336,3602.6664
"LOC412251",0,3,0,0,7551.9999,2888.0001
"LOC412254",0,2,0,0,1849.3334,676.6666
"LOC412256",2,14,0,1,100572,37842
"LOC412259",0,6,0,0,5266.0002,2113.9998
"LOC412260",2,6,0,0,15626.6664,6573.3336
"LOC412262",1,2,0,0,4658.0001,1659.9999
"LOC412263",3,19,0,10,68650.6656,24565.3344
"LOC412265",0,2,0,0,3790.6666,1393.3334
"LOC412267",0,1,0,0,901,317
"LOC412268",2,4,0,0,5146.0002,1783.9998
"LOC412272",3,1,0,0,2910.6668,977.3332
"LOC412273",26,83,6,26,824286,300048
"LOC412274",1,7,0,0,35461.3336,13402.6664
"LOC412276",0,3,0,0,2013.9999,668.0001
"LOC412277",3,6,0,0,8880.0003,2945.9997
"LOC412278",2,9,0,0,43659,16632
"LOC412279",0,15,0,4,31286.6673,11805.3327
"LOC412281",13,45,1,4,737583.0021,287174.9979
"LOC412282",8,8,0,1,41899.3339,13537.6661
"LOC412284",1,8,0,0,19284.0003,7904.9997
"LOC412286",6,5,0,0,10263,3432
"LOC412287",0,1,0,0,1056.6667,323.3333
"LOC412288",0,9,0,1,32203.333,12976.667
"LOC412289",0,6,0,0,4273.9998,1576.0002
"LOC412291",0,6,0,1,9492,3276
"LOC412293",4,2,0,0,14686.0002,5473.9998
"LOC412294",3,5,0,0,4725.3336,1442.6664
"LOC412295",8,8,0,1,29291,10693
"LOC412301",2,7,0,0,7512.0003,2342.9997
"LOC412302",1,0,0,0,558.6667,197.3333
"LOC412303",0,1,0,0,889.3333,322.6667
"LOC412305",3,0,0,0,3345,1191
"LOC412306",0,1,0,0,1332.3333,530.6667
"LOC412308",0,4,0,0,3400,1160
"LOC412310",0,11,0,0,7634,2464
"LOC412313",0,2,0,0,2388,996
"LOC412314",7,4,0,0,23162.3337,8418.6663
"LOC412315",0,2,0,0,1164.6666,359.3334
"LOC412316",3,3,0,0,6652.0002,2401.9998
"LOC412318",2,3,0,0,2373.3335,761.6665
"LOC412319",1,5,0,1,5929,2156
"LOC412320",3,4,0,0,5947.6669,2032.3331
"LOC412323",1,2,0,1,3478.6668,1261.3332
"LOC412326",1,4,0,0,10061.6665,3948.3335
"LOC412328",3,3,0,0,1726.0002,523.9998
"LOC412331",0,1,0,0,1634.3333,603.6667
"LOC412332",1,19,0,0,58820,22540
"LOC412339",0,2,0,0,1278.6666,509.3334
"LOC412341",3,1,0,0,3406.6668,1165.3332
"LOC412342",0,2,0,0,1207.3334,424.6666
"LOC412343",0,1,0,1,953.3334,348.6666
"LOC412345",0,1,0,0,612.6667,242.3333
"LOC412346",0,12,0,0,17780.0004,6267.9996
"LOC412349",0,2,0,0,778,278
"LOC412350",0,3,0,0,2918.0001,987.9999
"LOC412353",0,29,0,5,48132.6678,17555.3322
"LOC412354",8,18,15,26,254533,106061
"LOC412355",7,6,0,1,44216.6662,13617.3338
"LOC412360",1,1,0,0,2516,892
"LOC412362",0,1,0,0,1311.3333,413.6667
"LOC412363",0,1,0,0,429.3333,152.6667
"LOC412366",3,2,0,0,3131.6665,1008.3335
"LOC412367",1,1,0,0,1288.6666,475.3334
"LOC412371",0,7,0,1,41218.6664,16405.3336
"LOC412372",3,1,2,2,11381.3336,3498.6664
"LOC412377",0,3,0,1,4588,1724
"LOC412379",1,10,0,1,33912,12744
"LOC412381",1,1,0,0,788.6666,267.3334
"LOC412382",0,1,0,0,1022.3333,396.6667
"LOC412384",0,2,0,0,2711.3334,996.6666
"LOC412386",2,3,0,0,7768.3335,2821.6665
"LOC412388",0,5,0,2,4529,2002
"LOC412391",2,12,0,1,45975,17970
"LOC412393",3,9,0,0,13035.9996,4316.0004
"LOC412394",3,9,0,0,12975.9996,4016.0004
"LOC412397",0,4,0,0,5090.6668,1905.3332
"LOC412398",0,2,0,0,3041.3334,1158.6666
"LOC412399",2,8,0,0,12556.667,4843.333
"LOC412401",13,2,0,0,26535,7755
"LOC412406",1,8,0,1,38000,14650
"LOC412407",3,2,0,0,5098.3335,1651.6665
"LOC412408",1,1,2,1,11048.3335,3516.6665
"LOC412410",0,2,0,0,2426.6666,759.3334
"LOC412412",0,1,0,0,1036.6667,343.3333
"LOC412414",0,0,0,1,939.6667,365.3333
"LOC412416",0,1,0,0,1242.6667,434.3333
"LOC412419",0,9,0,0,9123.0003,3215.9997
"LOC412422",7,17,0,3,101412,45360
"LOC412423",0,5,0,0,5941.6665,2098.3335
"LOC412424",0,4,0,0,2484,912
"LOC412426",3,7,0,0,10320,3930
"LOC412430",1,1,0,0,2371.3334,814.6666
"LOC412431",0,2,0,0,2079.3334,698.6666
"LOC412432",8,4,1,0,19053.6671,6218.3329
"LOC412435",0,3,1,1,4773.3335,1871.6665
"LOC412436",9,10,0,3,31643.3326,10728.6674
"LOC412439",1,6,0,0,6498.3331,2510.6669
"LOC412442",1,4,0,0,3636.6665,1253.3335
"LOC412444",2,3,0,3,5405.3336,2250.6664
"LOC412445",1,0,0,0,327.6667,113.3333
"LOC412446",4,5,0,0,16598.9997,6243.0003
"LOC412448",5,6,0,0,7835.6663,3186.3337
"LOC412451",0,9,0,0,8669.9997,3264.0003
"LOC412452",0,1,0,0,540.3333,197.6667
"LOC412453",4,4,0,0,7970.6664,2997.3336
"LOC412454",3,14,0,1,44166.0006,15071.9994
"LOC412455",4,8,0,0,35127.9996,10664.0004
"LOC412456",0,8,0,0,12872,4576
"LOC412457",1,3,0,0,4325.3332,1566.6668
"LOC412458",6,5,1,1,7271.3329,2595.6671
"LOC412459",0,7,0,0,9744,3549
"LOC412460",2,6,1,0,7661.9997,2841.0003
"LOC412464",4,3,0,0,22997.3331,8880.6669
"LOC412465",1,10,0,0,5797,2189
"LOC412467",3,10,0,0,17043,6123
"LOC412468",7,8,0,0,38955,14415
"LOC412470",0,10,0,1,12510.6663,4946.3337
"LOC412471",0,2,0,0,2352.6666,833.3334
"LOC412472",2,9,0,0,15733.6663,5848.3337
"LOC412473",4,6,0,0,6250,2000
"LOC412475",1,18,0,3,19836.6674,7949.3326
"LOC412476",1,9,0,0,11090,4300
"LOC412480",12,3,0,0,23794.9995,7525.0005
"LOC412481",1,6,0,0,6353.6669,2382.3331
"LOC412487",1,1,1,1,2812,872
"LOC412488",0,2,0,0,1368,480
"LOC412491",0,4,0,0,4241.3332,1614.6668
"LOC412503",1,0,0,0,640,248
"LOC412505",1,7,0,0,13693.3336,4594.6664
"LOC412506",3,7,0,0,18126.667,7043.333
"LOC412508",4,9,0,0,66365,26260
"LOC412510",6,5,0,0,19932,6699
"LOC412511",0,1,0,0,1139.3333,411.6667
"LOC412513",1,6,0,1,10800,3552
"LOC412515",4,7,0,1,10767.9996,3956.0004
"LOC412516",1,1,0,0,2939.3334,1098.6666
"LOC412521",0,1,0,0,1033,344
"LOC412522",1,0,0,1,1608.6666,551.3334
"LOC412523",0,1,0,0,629.3333,210.6667
"LOC412524",0,2,0,0,1149.3334,482.6666
"LOC412526",2,4,0,0,5776.0002,1927.9998
"LOC412528",0,5,0,0,5601.6665,2168.3335
"LOC412529",0,2,0,0,2596,980
"LOC412536",8,3,0,0,10274,3289
"LOC412540",3,20,0,0,30107,11086
"LOC412541",0,16,0,3,23129.3327,8334.6673
"LOC412543",3,11,2,0,17360,6160
"LOC412544",4,12,0,3,101257.3327,40444.6673
"LOC412545",2,6,0,0,7872,2232
"LOC412546",6,9,0,0,34090.0005,11044.9995
"LOC412547",0,1,0,0,307,86
"LOC412548",7,8,0,0,15244.9995,4780.0005
"LOC412549",3,3,0,0,2410.0002,847.9998
"LOC412550",1,2,0,0,2051.0001,693.9999
"LOC412552",0,2,0,2,4741.3332,1834.6668
"LOC412554",0,2,0,0,952,344
"LOC412557",2,6,0,0,4802.6664,1821.3336
"LOC412560",0,5,0,0,4265,1480
"LOC412563",3,6,0,0,13734,5004
"LOC412564",0,3,0,0,6285.9999,2201.0001
"LOC412569",5,11,2,8,45586.6658,15643.3342
"LOC412570",1,4,0,7,11064,4092
"LOC412573",13,7,0,0,33146.666,10773.334
"LOC412574",0,2,0,2,8713.3332,3130.6668
"LOC412578",0,3,0,0,1158,426
"LOC412580",0,7,0,0,8278.6669,2767.3331
"LOC412584",1,11,0,2,20570.6662,7863.3338
"LOC412588",0,2,0,0,2233.3334,802.6666
"LOC412589",3,7,0,0,8473.333,3016.667
"LOC412591",3,16,1,4,20263.9992,8176.0008
"LOC412593",0,2,0,0,5012,1840
"LOC412594",7,10,0,0,35133.3339,13775.6661
"LOC412596",1,8,0,1,11373.333,4376.667
"LOC412599",1,5,0,0,4291.9998,1666.0002
"LOC412601",0,4,0,0,3706.6668,1429.3332
"LOC412606",6,5,0,0,19572.6663,6233.3337
"LOC412607",0,2,0,0,5100,1944
"LOC412608",0,3,0,0,5465.0001,2022.9999
"LOC412610",0,2,0,0,3294.6666,1037.3334
"LOC412611",5,4,0,0,9798.0003,3053.9997
"LOC412612",2,4,0,0,5425.9998,1990.0002
"LOC412613",0,1,0,0,718.3333,244.6667
"LOC412616",0,2,0,0,1268,490
"LOC412617",2,8,0,0,10403.333,3516.667
"LOC412619",1,7,0,0,9162.6664,3461.3336
"LOC412623",1,19,0,1,63084,24045
"LOC412624",1,11,0,0,17763.9996,6176.0004
"LOC412626",0,1,0,1,1042,368
"LOC412629",2,1,0,0,4428.9999,1601.0001
"LOC412630",5,8,0,0,15851.3329,5130.6671
"LOC412635",0,2,0,0,2189.3334,792.6666
"LOC412636",0,4,0,1,3685,1445
"LOC412637",7,4,2,3,24586.6672,8197.3328
"LOC412638",3,8,0,0,29692.6663,10237.3337
"LOC412641",3,25,2,10,56733.332,18026.668
"LOC412642",0,2,0,0,988,320
"LOC412643",16,24,0,0,195480,71040
"LOC412644",0,3,0,0,1581.9999,542.0001
"LOC412646",1,10,0,0,10842.3337,4205.6663
"LOC412647",0,10,0,0,8133.333,2786.667
"LOC412650",4,7,0,0,31896.3337,11399.6663
"LOC412651",0,2,0,0,745.3334,262.6666
"LOC412655",3,2,0,0,9891.6665,3968.3335
"LOC412662",0,4,0,0,7081.3332,2590.6668
"LOC412663",10,108,0,3,962635.6707,320569.3293
"LOC412666",2,1,0,0,1859.0001,624.9999
"LOC412667",4,22,1,3,79800,30360
"LOC412670",6,9,1,0,13386.6672,4469.3328
"LOC412674",1,2,0,0,1392,462
"LOC412675",3,3,0,0,5719.9998,2020.0002
"LOC412676",3,9,0,0,40875.9996,15608.0004
"LOC412678",1,0,0,0,728.3333,261.6667
"LOC412679",10,3,1,1,18330,5295
"LOC412681",0,12,0,0,21627.9996,8504.0004
"LOC412687",0,2,0,0,2060,814
"LOC412688",7,3,0,0,9956.667,3273.333
"LOC412690",0,1,0,0,845.3333,291.6667
"LOC412694",1,4,1,3,5634,2088
"LOC412697",1,5,0,0,5935.9998,2056.0002
"LOC412700",0,2,0,1,4970.0001,1869.9999
"LOC412701",30,22,2,0,461160,146178
"LOC412703",8,11,0,4,54724.6659,19036.3341
"LOC412705",0,3,0,0,1572.9999,506.0001
"LOC412707",0,1,0,0,1125.6667,434.3333
"LOC412710",0,2,0,0,798.6666,275.3334
"LOC412711",0,4,0,0,4946.6668,1857.3332
"LOC412712",0,1,0,0,1087.6667,418.3333
"LOC412714",0,6,0,0,4864.0002,1849.9998
"LOC412721",4,7,1,0,31172.0004,11775.9996
"LOC412722",0,4,0,0,4504,1760
"LOC412727",4,4,0,4,23115.9996,8204.0004
"LOC412728",1,3,0,0,4816,1664
"LOC412731",0,1,0,0,1924.3333,688.6667
"LOC412734",0,5,0,0,5865,1995
"LOC412735",0,6,0,0,2743.9998,1090.0002
"LOC412739",2,22,0,8,102570.6656,42005.3344
"LOC412741",3,5,0,0,20264,7696
"LOC412742",0,1,0,0,2248,782
"LOC412744",1,0,0,0,759,297
"LOC412745",2,5,1,1,23717.9997,7602.0003
"LOC412746",8,19,1,3,175697.6677,63405.3323
"LOC412748",2,13,0,0,18520.0005,6679.9995
"LOC412749",3,6,0,0,14697,5418
"LOC412750",1,3,0,0,9430.6668,2893.3332
"LOC412755",0,2,0,0,1874,724
"LOC412756",13,11,0,0,64680,22224
"LOC412759",4,2,0,0,2947.9998,976.0002
"LOC412762",0,4,0,0,3793.3332,1570.6668
"LOC412763",23,50,46,42,952959,344862
"LOC412764",2,15,0,14,33232,13547
"LOC412767",1,7,1,0,4799.9997,2004.0003
"LOC412768",0,5,0,2,3630.6669,1535.3331
"LOC412769",0,1,0,0,362.3333,105.6667
"LOC412771",5,1,0,3,3458.9997,1077.0003
"LOC412774",14,26,27,27,281780.6698,113301.3302
"LOC412775",20,93,1,63,1695601.0059,600442.9941
"LOC412777",1,8,0,2,16232.3337,6735.6663
"LOC412778",5,29,2,6,214998,81102
"LOC412780",5,4,0,0,16103.9997,5550.0003
"LOC412782",1,2,0,2,4450,1325
"LOC412784",1,7,0,0,12680,4408
"LOC412788",0,8,0,0,8853.3336,3026.6664
"LOC412789",8,4,2,0,20496,6804
"LOC412791",27,23,13,18,267462,107730
"LOC412795",5,34,1,15,165623.3315,61416.6685
"LOC412796",3,8,0,0,9940.3337,3424.6663
"LOC412797",1,2,0,0,3075,1218
"LOC412799",0,3,0,0,3924.9999,1259.0001
"LOC412801",0,29,1,7,127724,48211
"LOC412804",0,5,0,0,5913.3335,2246.6665
"LOC412806",0,1,0,0,301,122
"LOC412808",6,27,1,8,90678,33180
"LOC412810",4,18,0,2,44839.9992,16216.0008
"LOC412813",0,0,0,5,3481.6665,1408.3335
"LOC412815",17,25,0,1,224431.3319,83749.6681
"LOC412816",0,1,0,0,593.6667,222.3333
"LOC412817",0,7,0,3,23840,8560
"LOC412818",6,29,6,14,128700,48840
"LOC412823",0,3,0,0,5460,1911
"LOC412824",0,0,0,2,1296.6666,539.3334
"LOC412825",0,73,2,39,884107.9962,316654.0038
"LOC412827",0,9,3,3,22660.0005,8704.9995
"LOC412828",1,8,0,1,10473.333,3626.667
"LOC412829",18,11,1,8,57709.3346,21292.6654
"LOC412830",7,4,0,0,12147.6663,4418.3337
"LOC412832",2,4,0,0,16200,5004
"LOC412834",0,7,0,0,14779.3331,5800.6669
"LOC412835",0,9,0,2,14721.6663,6035.3337
"LOC412838",0,16,1,7,58240.0008,20959.9992
"LOC412839",0,20,0,1,26460,12789
"LOC412840",2,22,4,1,40039.3343,16249.6657
"LOC412842",0,0,0,2,2180,922
"LOC412843",5,10,0,4,29646.3327,10823.6673
"LOC412844",2,11,0,3,18821.3328,6234.6672
"LOC412846",0,2,0,0,1814.6666,633.3334
"LOC412850",1,5,0,0,10938,4020
"LOC412851",0,1,0,0,695.3333,252.6667
"LOC412853",1,19,0,0,34766.666,13173.334
"LOC412855",1,30,1,25,242003.0019,104442.9981
"LOC412858",0,5,1,4,18536.667,7383.333
"LOC412859",1,3,0,4,15661.3336,6226.6664
"LOC412862",0,11,0,0,12430,4532
"LOC412864",0,2,0,0,823.3334,256.6666
"LOC412865",3,16,0,12,78833,30721
"LOC412866",0,3,0,0,5814,2277
"LOC412869",3,2,0,0,2993.3335,891.6665
"LOC412870",0,0,1,0,657,228
"LOC412876",1,26,3,30,156820.002,58639.998
"LOC412878",13,46,2,15,463144,171836
"LOC412880",0,2,0,0,2516,976
"LOC412883",1,10,0,2,11973,4563
"LOC412884",1,8,1,0,17850,7470
"LOC412885",0,2,0,1,1997.0001,801.9999
"LOC412886",0,13,0,4,15634.3339,5581.6661
"LOC412887",5,24,0,9,102511.3346,34516.6654
"LOC412888",3,24,1,25,140202.6649,51392.3351
"LOC412889",4,3,1,5,11682.6671,4346.3329
"LOC412890",3,22,6,39,148796.669,56793.331
"LOC412893",3,19,1,15,119940.6654,47183.3346
"LOC412896",2,9,0,2,10157.3329,3960.6671
"LOC412897",1,16,1,2,19660,7460
"LOC412898",0,1,0,2,2285.0001,792.9999
"LOC412907",4,13,0,4,17184.9993,6440.0007
"LOC412913",0,2,0,0,931.3334,346.6666
"LOC412914",4,32,1,2,104429.0013,40767.9987
"LOC412916",0,8,0,1,12321,4770
"LOC412917",1,19,5,16,104276.6653,44061.3347
"LOC412918",11,1,1,2,30049.9995,7660.0005
"LOC412919",1,5,0,1,4830,1617
"LOC412923",3,17,2,7,26245,9686
"LOC412924",0,6,0,1,9135,3171
"LOC412925",1,11,0,11,25514.6659,9537.3341
"LOC412926",0,7,0,8,20235,8475
"LOC412927",2,13,1,8,31711.9992,12784.0008
"LOC412929",1,1,0,0,1080,348
"LOC412931",2,7,0,1,11296.667,4363.333
"LOC412932",0,9,0,0,9065.9997,3489.0003
"LOC412934",2,10,0,4,18309.3328,7178.6672
"LOC412935",0,12,0,2,37865.3338,14382.6662
"LOC412936",5,6,0,0,12466.6663,4231.3337
"LOC412937",1,2,0,0,5211,1737
"LOC412941",0,3,0,1,5932,2516
"LOC412943",0,1,1,0,3181.3334,1252.6666
"LOC412944",1,8,0,0,23121,8415
"LOC412948",0,17,0,5,35845.3326,15304.6674
"LOC412949",7,30,3,19,121756.3353,42499.6647
"LOC412950",1,3,0,0,6094.6668,1969.3332
"LOC412954",0,2,0,0,800.6666,267.3334
"LOC412955",1,15,0,4,23573.334,10026.666
"LOC412956",0,15,0,7,18311.3326,7494.6674
"LOC412959",12,9,2,4,65205,22437
"LOC412960",0,12,0,3,23374.9995,8485.0005
"LOC412961",0,6,0,0,9931.9998,3874.0002
"LOC412965",0,3,0,0,3114.9999,1385.0001
"LOC412966",0,6,0,0,2113.9998,784.0002
"LOC412968",4,22,0,4,95720.001,34149.999
"LOC412969",4,1,1,1,3518.6669,1101.3331
"LOC412972",0,0,0,1,760.3333,271.6667
"LOC412975",1,1,1,0,3356.0001,1134.9999
"LOC412976",1,6,0,6,17060.3329,6651.6671
"LOC412979",0,5,0,0,3898.3335,1321.6665
"LOC412984",13,9,0,0,27258,9174
"LOC412985",1,8,0,5,18452,6076
"LOC412986",3,8,0,0,11469.3337,3941.6663
"LOC412993",0,8,0,2,9970,3590
"LOC412994",0,5,0,7,10539.9996,4364.0004
"LOC412996",6,4,1,2,9871.3329,3037.6671
"LOC412997",0,15,0,0,21445.0005,9019.9995
"LOC413000",3,5,0,1,9306,3357
"LOC413001",2,6,0,1,16080.0003,5681.9997
"LOC413002",0,4,1,0,4520,1465
"LOC413005",0,2,0,2,3570.6668,1445.3332
"LOC413006",0,2,0,0,1690.6666,727.3334
"LOC413011",0,3,0,0,3380.0001,1092.9999
"LOC413012",7,15,0,3,51208.3325,18316.6675
"LOC413014",1,1,0,0,535.3334,178.6666
"LOC413020",0,8,0,3,7967.6663,3120.3337
"LOC413021",18,38,18,12,539592.6638,187451.3362
"LOC413023",0,2,0,0,1908.6666,743.3334
"LOC413024",2,2,1,8,17476.3329,7015.6671
"LOC413025",5,19,0,2,72808.6658,28123.3342
"LOC413029",3,4,0,0,9408,3654
"LOC413032",1,11,0,0,26751.9996,11192.0004
"LOC413034",0,8,1,6,23719.9995,9490.0005
"LOC413036",2,40,1,2,370515.0015,137624.9985
"LOC413040",1,6,0,1,5296,2240
"LOC413043",12,7,0,1,23606.666,8193.334
"LOC413046",0,2,0,0,3578.6666,1197.3334
"LOC413047",2,2,17,28,70364,25921
"LOC413048",2,19,2,14,51849.3321,18857.6679
"LOC413051",3,3,0,0,3721.9998,1156.0002
"LOC413052",0,25,3,11,104793,40170
"LOC413054",2,39,1,31,205641,82344
"LOC413055",6,3,0,0,21296.9997,6864.0003
"LOC413056",4,12,0,4,32386.666,10633.334
"LOC413060",2,10,1,0,16553.3329,7002.6671
"LOC413063",1,3,0,1,12945,4890
"LOC413064",3,10,1,4,32333.9994,11622.0006
"LOC413065",0,5,0,0,3265,1190
"LOC413068",2,7,0,1,7300,2540
"LOC413069",1,5,0,2,14069.3336,5322.6664
"LOC413071",4,19,1,7,89869,36518
"LOC413073",2,13,0,0,41220,16110
"LOC413074",2,9,0,0,25120.3337,9430.6663
"LOC413076",1,7,0,6,16534,6524
"LOC413078",0,4,0,0,3338.6668,1089.3332
"LOC413081",0,1,0,0,1398.3333,551.6667
"LOC413083",3,11,0,1,16705.0005,5839.9995
"LOC413086",13,19,0,5,84976.6679,31573.3321
"LOC413087",3,1,1,1,7573.9998,2668.0002
"LOC413089",0,8,1,0,10091.9997,3975.0003
"LOC413091",0,7,0,2,18384.0003,6482.9997
"LOC413096",1,17,0,7,57475,22250
"LOC413097",13,106,1,20,1204233.338,419066.662
"LOC413098",2,15,1,7,36725,14575
"LOC413106",3,10,4,1,25002,9882
"LOC413108",1,15,0,1,32872.3339,12211.6661
"LOC413109",0,12,0,9,45009.9993,16478.0007
"LOC413110",0,6,0,3,4245.0003,1451.9997
"LOC413112",4,10,0,2,17141.3328,5994.6672
"LOC413113",1,15,0,2,20412,8640
"LOC413117",0,21,2,12,35221.6655,12868.3345
"LOC413118",5,19,0,0,104152.0008,34519.9992
"LOC413119",3,8,2,17,37020,13920
